Marketing_Campaign_Indicator,Website_Engagement_Indicator,Engagement Score,Lead Source Category,Lead Source Channel,Referring_Bank_Region,has_website,has_instagram,has_twitter,has_facebook,insta_ratio,twt_presence,twt_ratio,has_sum,LF-Industry_Business To Business,LF-Industry_Construction,LF-Industry_Groceries,LF-Industry_Health Care & Pharmacies,LF-Industry_Lodging,LF-Industry_Non-Profit / Government,LF-Industry_Other,LF-Industry_Personal Services,LF-Industry_Professional Services,LF-Industry_Restaurants & Quick Serve Restaurants,LF-Industry_Retail,LF-Industry_Retail - Apparel,LF-Industry_Transportation,LF-Industry_Unknown,Converted,Lead_Quality_Score
0,0,0.0,2,2,24,1,1,1,1,0.83871,1,0.52173913,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0.5391666666666667
1,0,0.0,3,2,35,1,1,1,1,0.697674,1,0.594594595,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.05
1,0,10.0,0,2,35,1,0,0,1,0.533333,0,0.4,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.17
0,0,0.0,7,1,35,1,0,1,1,0.4,1,0.6875,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.65
1,0,0.0,2,2,7,1,0,0,1,0.555556,0,0.448979592,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.1
0,0,0.0,0,2,35,1,0,1,1,0.0,1,0.733333333,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0.52
0,0,0.0,2,2,25,1,0,0,1,0.451613,0,0.0,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0.04
1,0,10.0,4,0,35,0,1,1,1,0.814815,1,0.785714286,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
1,0,10.0,2,2,7,1,0,0,1,0.444444,0,0.222222222,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.2
0,0,0.0,2,2,26,0,0,0,1,0.457143,0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,35,0,0,0,0,1.0,2,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.08012870837714114
0,0,0.0,0,2,35,1,1,0,1,0.846154,0,0.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.03
0,0,0.0,2,2,25,1,0,0,1,0.55,0,0.0,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.48
0,0,0.0,2,2,25,1,0,1,0,0.0,1,0.564102564,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.51
1,0,0.0,2,2,7,1,0,0,0,0.0,0,0.35483871,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0.75
0,0,0.0,2,2,25,0,1,1,1,0.631579,1,0.578947368,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.02
0,0,0.0,0,2,35,1,0,1,1,0.529412,1,0.551724138,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.69
1,0,10.0,4,0,35,0,0,0,1,0.410256,0,0.0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.245
1,0,10.0,0,2,35,1,0,0,1,0.428571,0,0.428571429,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.01
0,0,0.0,2,2,32,0,0,0,1,0.444444,0,0.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0.73
0,0,0.0,1,2,35,1,1,1,1,0.857143,1,0.666666667,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.01
1,0,0.0,8,0,35,1,1,1,1,0.96,1,0.88,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0.12
0,0,0.0,2,2,25,0,0,0,1,0.521739,0,0.476190476,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.58
1,0,10.0,4,0,35,1,1,1,1,0.941176,1,0.888888889,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,32,1,1,1,1,0.96,1,0.578947368,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0.63
0,0,0.0,2,2,25,1,0,0,1,0.230769,0,0.0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,0.07
1,0,0.0,0,2,35,0,0,0,1,0.333333,2,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
1,0,0.0,0,2,35,0,0,0,1,0.470588,2,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
1,0,10.0,4,0,35,1,0,0,1,0.357143,0,0.285714286,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.01
0,0,0.0,1,2,35,0,0,0,0,1.0,2,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0.9804049305899573
0,0,0.0,0,2,35,1,1,0,1,0.645161,0,0.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.003333333333333333
0,0,0.0,2,2,26,1,0,0,0,1.0,2,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.009291803231363811
0,0,0.0,0,2,35,1,0,1,1,0.222222,1,0.551724138,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.14
1,0,0.0,1,2,18,1,0,0,1,0.482759,0,0.3,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,7,1,35,1,1,0,1,0.818182,0,0.0,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0.26
0,0,0.0,7,1,35,0,0,0,0,1.0,2,0.0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.880942388371377
1,0,0.0,1,2,19,1,1,0,1,0.702703,0,0.322580645,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,34,1,1,1,1,0.727273,1,0.536585366,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0.44
0,0,0.0,2,2,34,1,1,1,1,0.740741,1,0.583333333,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.74
0,0,0.0,1,2,35,0,0,0,0,1.0,2,0.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0.9804049305899573
0,0,0.0,2,2,26,1,0,0,1,0.0,0,0.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,2,2,24,1,0,0,0,0.526316,0,0.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.6091666666666666
0,0,0.0,2,2,35,0,0,0,1,0.230769,0,0.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0.605
0,0,0.0,2,2,25,0,0,0,1,0.315789,0,0.277777778,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0.15
0,0,0.0,2,2,26,0,1,0,1,0.714286,0,0.275862069,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.36
0,0,0.0,0,2,35,1,1,0,1,0.727273,2,0.0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.0
0,0,0.0,8,0,35,1,0,0,1,0.37037,0,0.285714286,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0.43
0,0,0.0,0,2,35,0,0,1,1,0.0,1,0.846153846,2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.14
0,0,0.0,7,1,35,1,0,0,1,0.347826,0,0.448979592,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,0.67
1,0,0.0,2,2,7,0,0,0,1,0.0,0,0.0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0.2225
0,0,0.0,0,2,35,1,1,0,1,0.974359,0,0.444444444,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,0.09
0,0,0.0,2,2,35,0,0,0,0,1.0,2,0.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.08012870837714114
0,0,0.0,2,2,25,1,0,0,1,0.564103,0,0.294117647,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,0.28
0,0,0.0,5,1,35,1,1,1,1,0.774194,1,0.571428571,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.66
